"Date","Price","Open","High","Low","Change %"
"Dec 25, 2011","53.015","52.775","53.495","52.665","0.43"
"Dec 18, 2011","52.790","52.480","53.250","52.400","0.55"
"Dec 11, 2011","52.500","52.180","54.330","52.130","1.20"
"Dec 04, 2011","51.875","51.065","52.355","50.945","1.50"
"Nov 27, 2011","51.110","52.130","52.435","51.110","-1.98"
"Nov 20, 2011","52.140","51.180","52.735","51.100","1.77"
"Nov 13, 2011","51.235","49.965","51.405","49.865","2.46"
"Nov 06, 2011","50.005","49.105","50.370","48.935","2.05"
"Oct 30, 2011","49.000","48.760","49.567","48.540","0.78"
"Oct 23, 2011","48.620","49.810","50.020","48.620","-2.47"
"Oct 16, 2011","49.850","48.940","50.330","48.690","1.69"
"Oct 09, 2011","49.020","49.020","49.485","48.760","-0.04"
"Oct 02, 2011","49.040","48.970","49.580","48.900","0.04"
"Sep 25, 2011","49.020","49.350","49.785","48.660","-0.67"
"Sep 18, 2011","49.350","47.330","49.895","47.250","4.27"
"Sep 11, 2011","47.330","46.450","48.010","46.350","1.81"
"Sep 04, 2011","46.490","45.760","46.670","45.660","1.54"
"Aug 28, 2011","45.785","46.055","46.145","45.655","-0.81"
"Aug 21, 2011","46.160","45.755","46.225","45.500","1.07"
"Aug 14, 2011","45.670","45.300","45.758","45.110","0.59"
"Aug 07, 2011","45.400","44.650","45.460","44.580","1.52"
"Jul 31, 2011","44.720","44.110","44.855","43.970","1.15"
"Jul 24, 2011","44.210","44.280","44.447","43.860","-0.32"
"Jul 17, 2011","44.350","44.440","44.670","44.270","-0.37"
"Jul 10, 2011","44.515","44.345","44.765","44.295","0.30"
"Jul 03, 2011","44.380","44.550","44.550","44.200","-0.56"
"Jun 26, 2011","44.630","44.910","45.150","44.500","-0.81"
"Jun 19, 2011","44.995","44.735","45.060","44.625","0.44"
"Jun 12, 2011","44.800","44.690","44.975","44.550","0.16"
"Jun 05, 2011","44.730","44.750","44.835","44.530","-0.22"
"May 29, 2011","44.830","45.110","45.148","44.700","-0.77"
"May 22, 2011","45.180","44.910","45.438","44.900","0.51"
"May 15, 2011","44.950","44.830","45.185","44.750","0.19"
"May 08, 2011","44.865","44.675","45.055","44.535","0.30"
"May 01, 2011","44.730","44.220","44.910","44.150","1.07"
"Apr 24, 2011","44.255","44.197","44.633","44.145","0.15"
"Apr 17, 2011","44.190","44.230","44.705","44.120","-0.19"
"Apr 10, 2011","44.275","44.045","44.612","43.907","0.44"
"Apr 03, 2011","44.080","44.420","44.487","44.000","-0.71"
"Mar 27, 2011","44.395","44.665","44.922","44.395","-0.69"
"Mar 20, 2011","44.705","44.955","45.120","44.525","-0.69"
"Mar 13, 2011","45.015","45.165","45.377","44.955","-0.13"
"Mar 06, 2011","45.075","44.865","45.300","44.825","0.37"
"Feb 27, 2011","44.910","45.240","45.330","44.820","-0.81"
"Feb 20, 2011","45.275","45.085","45.517","44.885","0.35"
"Feb 13, 2011","45.115","45.495","45.615","45.135","-1.10"
"Feb 06, 2011","45.615","45.515","45.795","45.075","0.09"
"Jan 30, 2011","45.575","45.815","46.025","45.365","-0.75"
"Jan 23, 2011","45.920","45.560","45.920","45.420","0.64"
"Jan 16, 2011","45.630","45.290","45.840","45.180","0.58"
"Jan 09, 2011","45.365","45.285","45.565","44.905","0.02"
"Jan 02, 2011","45.355","44.625","45.535","44.525","1.44"
"Dec 26, 2010","44.713","44.983","45.293","44.662","-0.70"
"Dec 19, 2010","45.030","45.160","45.680","44.920","-0.32"
"Dec 12, 2010","45.175","44.945","45.635","44.855","0.43"
"Dec 05, 2010","44.980","44.830","45.370","44.590","0.14"
"Nov 28, 2010","44.915","45.765","46.125","44.905","-1.99"
"Nov 21, 2010","45.825","45.210","45.910","45.030","1.21"
"Nov 14, 2010","45.275","44.725","45.595","44.585","1.09"
"Nov 07, 2010","44.785","43.875","44.885","43.815","1.96"
"Oct 31, 2010","43.925","44.295","44.505","43.865","-0.90"
"Oct 24, 2010","44.325","44.455","44.645","44.195","-0.43"
"Oct 17, 2010","44.515","44.055","44.615","44.015","1.00"
"Oct 10, 2010","44.075","44.365","44.790","43.995","-0.77"
"Oct 03, 2010","44.415","44.345","44.810","44.075","0.09"
"Sep 26, 2010","44.375","45.085","45.310","44.365","-1.63"
"Sep 19, 2010","45.110","45.800","45.890","45.110","-1.62"
"Sep 12, 2010","45.855","46.235","46.480","45.785","-0.93"
"Sep 05, 2010","46.285","46.415","46.930","46.175","-0.43"
"Aug 29, 2010","46.485","46.745","47.170","46.395","-0.69"
"Aug 22, 2010","46.810","46.575","47.040","46.285","0.42"
"Aug 15, 2010","46.615","46.555","46.905","46.185","-0.02"
"Aug 08, 2010","46.625","45.905","47.055","45.755","1.39"
"Aug 01, 2010","45.985","46.345","46.345","45.735","-0.91"
"Jul 25, 2010","46.405","46.845","47.055","46.315","-1.09"
"Jul 18, 2010","46.915","46.625","47.435","46.625","0.41"
"Jul 11, 2010","46.725","46.575","46.970","46.245","0.13"
"Jul 04, 2010","46.665","46.465","47.155","46.315","0.17"
"Jun 27, 2010","46.585","46.035","46.815","45.825","1.11"
"Jun 20, 2010","46.075","45.965","46.655","45.515","0.09"
"Jun 13, 2010","46.035","46.745","46.785","45.925","-1.58"
"Jun 06, 2010","46.775","46.855","47.475","46.365","-0.23"
"May 30, 2010","46.885","46.245","47.295","46.195","1.21"
"May 23, 2010","46.325","46.975","47.765","46.325","-1.28"
"May 16, 2010","46.925","45.145","47.355","45.065","3.64"
"May 09, 2010","45.275","45.405","45.405","44.685","-0.64"
"May 02, 2010","45.565","44.215","45.750","44.195","2.91"
"Apr 25, 2010","44.275","44.305","44.775","44.165","-0.09"
"Apr 18, 2010","44.315","44.245","44.765","44.205","0.09"
"Apr 11, 2010","44.275","44.175","44.705","44.075","0.23"
"Apr 04, 2010","44.175","44.735","44.805","44.165","-1.32"
"Mar 28, 2010","44.765","45.065","45.205","44.625","-0.82"
"Mar 21, 2010","45.135","45.525","45.725","45.125","-0.70"
"Mar 14, 2010","45.455","45.465","45.700","45.235","-0.02"
"Mar 07, 2010","45.465","45.465","45.665","45.265","0.02"
"Feb 28, 2010","45.455","46.105","46.167","45.455","-1.41"
"Feb 21, 2010","46.105","46.135","46.535","45.955","-0.14"
"Feb 14, 2010","46.170","46.320","46.510","45.740","-0.55"
"Feb 07, 2010","46.425","46.555","46.890","46.185","-0.47"
"Jan 31, 2010","46.645","46.175","46.775","45.785","1.13"
"Jan 24, 2010","46.125","46.175","46.555","45.865","-0.22"
"Jan 17, 2010","46.225","45.795","46.355","45.365","0.95"
"Jan 10, 2010","45.790","45.510","45.830","45.100","0.70"
"Jan 03, 2010","45.470","46.530","46.640","45.470","-2.46"
"Dec 27, 2009","46.615","46.525","46.778","46.385","0.23"
"Dec 20, 2009","46.510","46.810","46.920","46.510","-0.46"
"Dec 13, 2009","46.725","46.565","47.045","46.385","0.53"
"Dec 06, 2009","46.480","46.140","46.875","46.010","0.66"
"Nov 29, 2009","46.175","46.445","46.560","45.885","-0.62"
"Nov 22, 2009","46.465","46.525","47.090","45.845","-0.24"
"Nov 15, 2009","46.575","46.145","46.775","45.775","0.83"
"Nov 08, 2009","46.190","46.750","46.760","46.100","-1.36"
"Nov 01, 2009","46.825","46.995","47.435","46.735","-0.21"
"Oct 25, 2009","46.925","46.425","47.650","46.365","0.91"
"Oct 18, 2009","46.500","46.140","46.830","45.840","0.59"
"Oct 11, 2009","46.225","46.365","46.705","45.795","-0.62"
"Oct 04, 2009","46.515","47.555","47.665","46.075","-2.34"
"Sep 27, 2009","47.630","47.870","48.160","47.610","-0.66"
"Sep 20, 2009","47.945","48.145","48.285","47.835","-0.14"
"Sep 13, 2009","48.010","48.330","48.810","47.890","-0.62"
"Sep 06, 2009","48.310","48.740","48.787","48.190","-0.95"
"Aug 30, 2009","48.775","48.525","49.225","48.345","0.49"
"Aug 23, 2009","48.535","48.415","49.065","48.245","0.24"
"Aug 16, 2009","48.420","48.130","48.995","48.010","0.46"
"Aug 09, 2009","48.200","47.600","48.600","47.460","1.07"
"Aug 02, 2009","47.690","47.710","47.990","47.150","-0.28"
"Jul 26, 2009","47.825","48.075","48.605","47.775","-0.55"
"Jul 19, 2009","48.090","48.530","48.690","48.010","-0.99"
"Jul 12, 2009","48.570","48.710","49.455","48.280","-0.41"
"Jul 05, 2009","48.770","47.790","49.070","47.610","2.00"
"Jun 28, 2009","47.815","48.025","48.285","47.575","-0.46"
"Jun 21, 2009","48.035","47.975","48.955","47.795","0.02"
"Jun 14, 2009","48.025","47.385","48.345","47.225","1.21"
"Jun 07, 2009","47.450","46.910","47.785","46.810","1.06"
